Events,EName,Start,Stop,peak,GOES Class,Derived Position,flare_24h,longitude
17,gev_20190506_0504,2019-05-06 05:04:00,05:12:00,05:10:00,M1.0,N08E50(2740),0,0
4,gev_20171020_2310,2017-10-20 23:10:00,23:37:00,23:28:00,M1.1,S12E88(2685),0,0
5,gev_20171020_2310,2017-10-20 23:10:00,23:37:00,23:28:00,M1.1,S12E88(2685),0,0
6,gev_20171020_2310,2017-10-20 23:10:00,23:37:00,23:28:00,M1.1,S12E88(),0,0
7,gev_20170910_1535,2017-09-10 15:35:00,16:31:00,16:06:00,X8.2,S08W88(2673),0,0
5,gev_20170909_2204,2017-09-09 22:04:00,01:30:00,23:53:00,M1.2,S09W88(2673),0,0
12,gev_20170910_1535,2017-09-10 15:35:00,16:31:00,16:06:00,X8.2,S08W88(2673),0,0
2,gev_20170909_0414,2017-09-09 04:14:00,04:43:00,04:28:00,M1.1,S11W70(2673),0,0
6,gev_20170909_1050,2017-09-09 10:50:00,11:42:00,11:04:00,M3.7,S08W74(2676),0,0
11,gev_20170909_2204,2017-09-09 22:04:00,01:30:00,23:53:00,M1.2,S09W88(2673),0,0
18,gev_20170910_1535,2017-09-10 15:35:00,16:31:00,16:06:00,X8.2,S08W88(2673),0,0
3,gev_20170909_0414,2017-09-09 04:14:00,04:43:00,04:28:00,M1.1,S11W70(2673),0,0
7,gev_20170909_1050,2017-09-09 10:50:00,11:42:00,11:04:00,M3.7,S08W74(2676),0,0
12,gev_20170909_2204,2017-09-09 22:04:00,01:30:00,23:53:00,M1.2,S09W88(2673),0,0
19,gev_20170910_1535,2017-09-10 15:35:00,16:31:00,16:06:00,X8.2,S08W88(2673),0,0
5,gev_20170908_2333,2017-09-08 23:33:00,23:56:00,23:45:00,M2.1,S08W69(2673),0,0
9,gev_20170909_0414,2017-09-09 04:14:00,04:43:00,04:28:00,M1.1,S11W70(2673),0,0
13,gev_20170909_1050,2017-09-09 10:50:00,11:42:00,11:04:00,M3.7,S08W74(2676),0,0
18,gev_20170909_2204,2017-09-09 22:04:00,01:30:00,23:53:00,M1.2,S09W88(2673),0,0
2,gev_20170908_0740,2017-09-08 07:40:00,07:58:00,07:49:00,M8.1,S09W57(2673),0,0
8,gev_20170908_1509,2017-09-08 15:09:00,16:04:00,15:47:00,M2.9,S09W63(2673),0,0
13,gev_20170908_2333,2017-09-08 23:33:00,23:56:00,23:45:00,M2.1,S08W69(2673),0,0
17,gev_20170909_0414,2017-09-09 04:14:00,04:43:00,04:28:00,M1.1,S11W70(2673),0,0
1,gev_20170907_0949,2017-09-07 09:49:00,09:58:00,09:54:00,M1.4,S07W46(2673),0,0
2,gev_20170907_1011,2017-09-07 10:11:00,10:18:00,10:15:00,M7.3,S07W46(2673),0,0
4,gev_20170907_1420,2017-09-07 14:20:00,14:55:00,14:36:00,X1.3,S08W48(2673),0,0
10,gev_20170907_2350,2017-09-07 23:50:00,00:14:00,23:59:00,M3.9,S11W54(2673),0,0
13,gev_20170908_0219,2017-09-08 02:19:00,02:29:00,02:24:00,M1.3,S09W55(2673),0,0
15,gev_20170908_0339,2017-09-08 03:39:00,03:45:00,03:43:00,M1.2,S07W55(2673),0,0
20,gev_20170908_0740,2017-09-08 07:40:00,07:58:00,07:49:00,M8.1,S09W57(2673),0,0
1,gev_20170904_2210,2017-09-04 22:10:00,22:19:00,22:14:00,M2.1,S09W12(2673),0,0
3,gev_20170905_0103,2017-09-05 01:03:00,01:11:00,01:08:00,M4.2,S09W14(2673),0,0
4,gev_20170905_0342,2017-09-05 03:42:00,04:04:00,03:51:00,M1.0,S09W15(2673),0,0
5,gev_20170905_0433,2017-09-05 04:33:00,05:07:00,04:53:00,M3.2,S11W18(2673),0,0
6,gev_20170905_0633,2017-09-05 06:33:00,06:43:00,06:40:00,M3.8,S82E08,0,0
12,gev_20170905_1737,2017-09-05 17:37:00,17:51:00,17:43:00,M2.3,S10W23(2673),0,0
16,gev_20170906_0857,2017-09-06 08:57:00,09:17:00,09:10:00,X2.2,S08W32(2673),0,0
17,gev_20170906_1153,2017-09-06 11:53:00,12:10:00,12:02:00,X9.3,S09W34(2673),0,0
18,gev_20170906_1551,2017-09-06 15:51:00,16:03:00,15:56:00,M2.5,S08W36(2673),0,0
19,gev_20170906_1921,2017-09-06 19:21:00,19:35:00,19:30:00,M1.4,S08W38(2673),0,0
20,gev_20170906_2333,2017-09-06 23:33:00,23:44:00,23:39:00,M1.2,S08W40(2673),0,0
1,gev_20170904_1511,2017-09-04 15:11:00,15:33:00,15:30:00,M1.5,S10W08(2673),0,0
4,gev_20170904_1805,2017-09-04 18:05:00,18:31:00,18:22:00,M1.0,S07W11(2673),0,0
5,gev_20170904_1846,2017-09-04 18:46:00,19:52:00,19:37:00,M1.7,S09W11(2673),0,0
6,gev_20170904_1959,2017-09-04 19:59:00,20:06:00,20:02:00,M1.5,S10W11(2673),0,0
7,gev_20170904_2028,2017-09-04 20:28:00,20:37:00,20:33:00,M5.5,S10W11(2673),0,0
8,gev_20170904_2210,2017-09-04 22:10:00,22:19:00,22:14:00,M2.1,S09W12(2673),0,0
10,gev_20170905_0103,2017-09-05 01:03:00,01:11:00,01:08:00,M4.2,S09W14(2673),0,0
11,gev_20170905_0342,2017-09-05 03:42:00,04:04:00,03:51:00,M1.0,S09W15(2673),0,0
12,gev_20170905_0433,2017-09-05 04:33:00,05:07:00,04:53:00,M3.2,S11W18(2673),0,0
13,gev_20170905_0633,2017-09-05 06:33:00,06:43:00,06:40:00,M3.8,S82E08,0,0
19,gev_20170905_1737,2017-09-05 17:37:00,17:51:00,17:43:00,M2.3,S10W23(2673),0,0
2,gev_20170904_0536,2017-09-04 05:36:00,06:05:00,05:49:00,M1.2,S10W04(2673),0,0
7,gev_20170904_1511,2017-09-04 15:11:00,15:33:00,15:30:00,M1.5,S10W08(2673),0,0
10,gev_20170904_1805,2017-09-04 18:05:00,18:31:00,18:22:00,M1.0,S07W11(2673),0,0
11,gev_20170904_1846,2017-09-04 18:46:00,19:52:00,19:37:00,M1.7,S09W11(2673),0,0
12,gev_20170904_1959,2017-09-04 19:59:00,20:06:00,20:02:00,M1.5,S10W11(2673),0,0
13,gev_20170904_2028,2017-09-04 20:28:00,20:37:00,20:33:00,M5.5,S10W11(2673),0,0
14,gev_20170904_2210,2017-09-04 22:10:00,22:19:00,22:14:00,M2.1,S09W12(2673),0,0
16,gev_20170905_0103,2017-09-05 01:03:00,01:11:00,01:08:00,M4.2,S09W14(2673),0,0
17,gev_20170905_0342,2017-09-05 03:42:00,04:04:00,03:51:00,M1.0,S09W15(2673),0,0
18,gev_20170905_0433,2017-09-05 04:33:00,05:07:00,04:53:00,M3.2,S11W18(2673),0,0
19,gev_20170905_0633,2017-09-05 06:33:00,06:43:00,06:40:00,M3.8,S82E08,0,0
20,gev_20170904_0536,2017-09-04 05:36:00,06:05:00,05:49:00,M1.2,S10W04(2673),0,0
7,gev_20170820_0136,2017-08-20 01:36:00,02:03:00,01:52:00,M1.1,N06E89(2672),0,0
17,gev_20170820_0136,2017-08-20 01:36:00,02:03:00,01:52:00,M1.1,N06E89,0,0
6,gev_20170714_0107,2017-07-14 01:07:00,03:24:00,02:09:00,M2.4,S09W33(2665),0,0
13,gev_20170714_0107,2017-07-14 01:07:00,03:24:00,02:09:00,M2.4,S09W33(2665),0,0
20,gev_20170714_0107,2017-07-14 01:07:00,03:24:00,02:09:00,M2.4,S09W33(2665),0,0
1,gev_20170709_0309,2017-07-09 03:09:00,03:37:00,03:18:00,M1.3,S06E37(2665),0,0
16,gev_20170709_0309,2017-07-09 03:09:00,03:37:00,03:18:00,M1.3,S06E37(2665),0,0
1,gev_20170703_1537,2017-07-03 15:37:00,16:18:00,16:15:00,M1.3,N03W89(),0,0
9,gev_20170703_1537,2017-07-03 15:37:00,16:18:00,16:15:00,M1.3,N03W89(),0,0
12,gev_20170703_1537,2017-07-03 15:37:00,16:18:00,16:15:00,M1.3,N03W89(),0,0
14,gev_20170703_1537,2017-07-03 15:37:00,16:18:00,16:15:00,M1.3,N03W89(),0,0
1,gev_20170403_0056,2017-04-03 00:56:00,01:12:00,01:05:00,M1.2,N15W68(2644),0,0
11,gev_20170403_1419,2017-04-03 14:19:00,14:34:00,14:29:00,M5.8,N16W78(2644),0,0
1,gev_20170401_2135,2017-04-01 21:35:00,22:05:00,21:48:00,M4.4,N13W54(2644),0,0
8,gev_20170402_0750,2017-04-02 07:50:00,08:45:00,08:02:00,M5.4,N12W60(2644),0,0
10,gev_20170402_1252,2017-04-02 12:52:00,13:11:00,13:00:00,M2.3,N13W61(2644),0,0
13,gev_20170402_1818,2017-04-02 18:18:00,19:28:00,18:38:00,M2.1,N12W66(2644),0,0
14,gev_20170402_2026,2017-04-02 20:26:00,20:38:00,20:33:00,M5.7,N15W66(2644),0,0
16,gev_20170403_0056,2017-04-03 00:56:00,01:12:00,01:05:00,M1.2,N15W68(2644),0,0
13,gev_20170401_2135,2017-04-01 21:35:00,22:05:00,21:48:00,M4.4,N13W54(2644),0,0
20,gev_20170402_0750,2017-04-02 07:50:00,08:45:00,08:02:00,M5.4,N12W60(2644),0,0
2,gev_20161129_2329,2016-11-29 23:29:00,23:40:00,23:38:00,M1.2,S07E51(2615),0,0
3,gev_20161129_2329,2016-11-29 23:29:00,23:40:00,23:38:00,M1.2,S07E51(2615),0,0
1,gev_20161129_1719,2016-11-29 17:19:00,17:26:00,17:23:00,M1.0,S07E56(2615),0,0
6,gev_20161129_2329,2016-11-29 23:29:00,23:40:00,23:38:00,M1.2,S07E51(2615),0,0
6,gev_20161129_1719,2016-11-29 17:19:00,17:26:00,17:23:00,M1.0,S07E56(2615),0,0
11,gev_20161129_2329,2016-11-29 23:29:00,23:40:00,23:38:00,M1.2,S07E51(2615),0,0
4,gev_20160807_1437,2016-08-07 14:37:00,14:48:00,14:44:00,M1.3,S12W70,0,0
10,gev_20160807_1437,2016-08-07 14:37:00,14:48:00,14:44:00,M1.3,S15W88,0,0
4,gev_20160724_1730,2016-07-24 17:30:00,18:12:00,17:43:00,M1.9,N07W89(2567),0,0
5,gev_20160724_1730,2016-07-24 17:30:00,18:12:00,17:43:00,M1.9,N07W89(2567),0,0
6,gev_20160724_1730,2016-07-24 17:30:00,18:12:00,17:43:00,M1.9,N07W89(2567),0,0
9,gev_20160724_1730,2016-07-24 17:30:00,18:12:00,17:43:00,M1.9,N07W89(2567),0,0
8,gev_20160724_0609,2016-07-24 06:09:00,06:32:00,06:20:00,M2.0,N06W89(2567),0,0
17,gev_20160724_1730,2016-07-24 17:30:00,18:12:00,17:43:00,M1.9,N07W89(2567),0,0
2,gev_20160723_0146,2016-07-23 01:46:00,02:23:00,02:11:00,M5.0,N05W73(2567),0,0
4,gev_20160723_0500,2016-07-23 05:00:00,05:24:00,05:16:00,M7.6,N05W73(2567),0,0
5,gev_20160723_0527,2016-07-23 05:27:00,05:33:00,05:31:00,M5.5,N02W75(2565),0,0
18,gev_20160724_0609,2016-07-24 06:09:00,06:32:00,06:20:00,M2.0,N06W89(2567),0,0
15,gev_20160723_0146,2016-07-23 01:46:00,02:23:00,02:11:00,M5.0,N05W73(2565),0,0
17,gev_20160723_0500,2016-07-23 05:00:00,05:24:00,05:16:00,M7.6,N05W73(2565),0,0
18,gev_20160723_0527,2016-07-23 05:27:00,05:33:00,05:31:00,M5.5,N02W75(2565),0,0
17,gev_20160721_0042,2016-07-21 00:42:00,00:50:00,00:46:00,M1.2,N03W42(2565),0,0
18,gev_20160721_0134,2016-07-21 01:34:00,02:04:00,01:48:00,M1.0,N02W42(2567),0,0
2,gev_20160418_0014,2016-04-18 00:14:00,00:39:00,00:29:00,M6.7,N11W60(2529),0,0
9,gev_20160418_0014,2016-04-18 00:14:00,00:39:00,00:29:00,M6.7,N11W60(2529),0,0
15,gev_20160418_0014,2016-04-18 00:14:00,00:39:00,00:29:00,M6.7,N11W60(2529),0,0
20,gev_20160418_0014,2016-04-18 00:14:00,00:39:00,00:29:00,M6.7,N11W60(2529),0,0
1,gev_20160214_1918,2016-02-14 19:18:00,19:29:00,19:26:00,M1.0,N13W47(2497),0,0
9,gev_20160215_1041,2016-02-15 10:41:00,11:06:00,11:00:00,M1.1,N11W54(2497),0,0
12,gev_20160214_1918,2016-02-14 19:18:00,19:29:00,19:26:00,M1.0,N13W47(2497),0,0
20,gev_20160215_1041,2016-02-15 10:41:00,11:06:00,11:00:00,M1.1,N13W55(2497),0,0
8,gev_20160213_1516,2016-02-13 15:16:00,15:26:00,15:24:00,M1.8,N14W28(2497),0,0
11,gev_20160212_1036,2016-02-12 10:36:00,10:53:00,10:47:00,M1.0,N11W14(2497),0,0
20,gev_20160212_1036,2016-02-12 10:36:00,10:53:00,10:47:00,M1.0,N11W14(2497),0,0
1,gev_20160101_2310,2016-01-01 23:10:00,01:01:00,00:11:00,M2.3,S25W82(2473),0,0
12,gev_20160101_2310,2016-01-01 23:10:00,01:01:00,00:11:00,M2.3,S25W82(2473),0,0
18,gev_20160101_2310,2016-01-01 23:10:00,01:01:00,00:11:00,M2.3,S25W82(2473),0,0
20,gev_20160101_2310,2016-01-01 23:10:00,01:20:00,00:10:00,M2.4,S25W82(2473),0,0
2,gev_20151228_1120,2015-12-28 11:20:00,15:00:00,12:45:00,M1.9,S23W11(2473),0,0
11,gev_20151228_1120,2015-12-28 11:20:00,15:00:00,12:45:00,M1.9,S23W11(2473),0,0
14,gev_20151228_1120,2015-12-28 11:20:00,15:00:00,12:45:00,M1.9,S23W11(2473),0,0
4,gev_20151224_0149,2015-12-24 01:49:00,02:22:00,02:12:00,M1.1,S21E50(2473),0,0
4,gev_20151223_0023,2015-12-23 00:23:00,00:52:00,00:40:00,M4.7,S21E65(2473),0,0
8,gev_20151224_0149,2015-12-24 01:49:00,02:22:00,02:12:00,M1.1,S21E50(2473),0,0
7,gev_20151222_0315,2015-12-22 03:15:00,03:48:00,03:34:00,M1.6,S22E77(2473),0,0
13,gev_20151223_0023,2015-12-23 00:23:00,00:52:00,00:40:00,M4.7,S21E65(2473),0,0
17,gev_20151224_0149,2015-12-24 01:49:00,02:22:00,02:12:00,M1.1,S21E50(2473),0,0
1,gev_20151221_1009,2015-12-21 10:09:00,10:32:00,10:19:00,M1.1,N01E81(2472),0,0
9,gev_20151222_0315,2015-12-22 03:15:00,03:48:00,03:34:00,M1.6,S22E77(2473),0,0
15,gev_20151223_0023,2015-12-23 00:23:00,00:52:00,00:40:00,M4.7,S21E65(2473),0,0
19,gev_20151224_0149,2015-12-24 01:49:00,02:22:00,02:12:00,M1.1,S21E50(2473),0,0
5,gev_20151221_1009,2015-12-21 10:09:00,10:32:00,10:19:00,M1.1,N01E81(2472),0,0
