Events,EName,Start,Stop,peak,GOES Class,Derived Position
1,gev_20190803_0539,2019/08/03 05:39:00,06:04:00,05:48:00,A7.3
1,gev_20190727_0442,2019/07/27 04:42:00,04:58:00,04:47:00,A7.2
1,gev_20190727_0442,2019/07/27 04:42:00,04:58:00,04:47:00,A7.2
1,gev_20190727_0442,2019/07/27 04:42:00,04:58:00,04:47:00,A7.2
1,gev_20190727_0442,2019/07/27 04:42:00,04:58:00,04:47:00,A7.2
1,gev_20190727_0442,2019/07/27 04:42:00,04:58:00,04:47:00,A7.2
1,gev_20190719_1551,2019/07/19 15:51:00,15:53:00,15:52:00,A1.1
1,gev_20190719_1551,2019/07/19 15:51:00,15:53:00,15:52:00,A1.1
1,gev_20190715_1140,2019/07/15 11:40:00,11:42:00,11:41:00,A1.1
2,gev_20190719_1551,2019/07/19 15:51:00,15:53:00,15:52:00,A1.1
1,gev_20190714_0010,2019/07/14 00:10:00,04:30:00,01:56:00,A7.6
2,gev_20190715_1140,2019/07/15 11:40:00,11:42:00,11:41:00,A1.1
3,gev_20190719_1551,2019/07/19 15:51:00,15:53:00,15:52:00,A1.1
1,gev_20190714_0010,2019/07/14 00:10:00,04:30:00,01:56:00,A7.6
2,gev_20190715_1140,2019/07/15 11:40:00,11:42:00,11:41:00,A1.1
1,gev_20190714_0010,2019/07/14 00:10:00,04:30:00,01:56:00,A7.6
2,gev_20190715_1140,2019/07/15 11:40:00,11:42:00,11:41:00,A1.1
1,gev_20190714_0010,2019/07/14 00:10:00,04:30:00,01:56:00,A7.6
2,gev_20190715_1140,2019/07/15 11:40:00,11:42:00,11:41:00,A1.1
1,gev_20190714_0010,2019/07/14 00:10:00,04:30:00,01:56:00,A7.6
2,gev_20190715_1140,2019/07/15 11:40:00,11:42:00,11:41:00,A1.1
1,gev_20190714_0010,2019/07/14 00:10:00,04:30:00,01:56:00,A7.6
1,gev_20190707_0059,2019/07/07 00:59:00,01:04:00,01:02:00,B1.5
2,gev_20190707_0825,2019/07/07 08:25:00,08:39:00,08:31:00,B1.2
1,gev_20190706_0608,2019/07/06 06:08:00,06:10:00,06:09:00,A1.1
2,gev_20190706_1715,2019/07/06 17:15:00,17:21:00,17:19:00,B1.3
3,gev_20190706_1947,2019/07/06 19:47:00,19:52:00,19:50:00,B1.1
4,gev_20190706_2117,2019/07/06 21:17:00,21:24:00,21:21:00,B3.6
5,gev_20190707_0059,2019/07/07 00:59:00,01:04:00,01:02:00,B1.5
6,gev_20190707_0825,2019/07/07 08:25:00,08:39:00,08:31:00,B1.2
