harp_number,t_rec,noaa_ars,latdtmin,londtmin,latdtmax,londtmax
1,2010.05.01_00:00:00_TAI,11067,20.513599,-87.762901,28.4676,-70.368797
1,2010.05.01_01:00:00_TAI,11067,20.513599,-87.2118,28.4676,-69.817596
1,2010.05.01_02:00:00_TAI,11067,20.513599,-86.660599,28.4676,-69.266403
1,2010.05.01_03:00:00_TAI,11067,20.513599,-86.109398,28.4676,-68.715202
1,2010.05.01_04:00:00_TAI,11067,20.513599,-85.558197,28.4676,-68.164001
1,2010.05.01_05:00:00_TAI,11067,20.513599,-85.007004,28.4676,-67.612801
1,2010.05.01_06:00:00_TAI,11067,20.513599,-84.455803,28.4676,-67.061699
1,2010.05.01_07:00:00_TAI,11067,20.513599,-83.904602,28.4676,-66.510498
1,2010.05.01_08:00:00_TAI,11067,20.513599,-83.353401,28.4676,-65.959297
1,2010.05.01_09:00:00_TAI,11067,20.513599,-82.8022,28.4676,-65.408096
1,2010.05.01_10:00:00_TAI,11067,20.513599,-82.250999,28.4676,-64.856903
1,2010.05.01_11:00:00_TAI,11067,20.513599,-81.699898,28.4676,-64.305702
1,2010.05.01_12:00:00_TAI,11067,20.513599,-81.148697,28.4676,-63.754501
1,2010.05.01_13:00:00_TAI,11067,20.513599,-80.597504,28.4676,-63.2033
1,2010.05.01_14:00:00_TAI,11067,20.513599,-80.046303,28.4676,-62.6521
1,2010.05.01_15:00:00_TAI,11067,20.513599,-79.495102,28.4676,-62.100899
1,2010.05.01_16:00:00_TAI,11067,20.513599,-78.943901,28.4676,-61.549801
1,2010.05.01_17:00:00_TAI,11067,20.513599,-78.3927,28.4676,-60.9986
1,2010.05.01_18:00:00_TAI,11067,20.513599,-77.841499,28.4676,-60.447399
1,2010.05.01_19:00:00_TAI,11067,20.513599,-77.290298,28.4676,-59.896198
1,2010.05.01_20:00:00_TAI,11067,20.513599,-76.739197,28.4676,-59.345001
1,2010.05.01_21:00:00_TAI,11067,20.513599,-76.188004,28.4676,-58.7938
1,2010.05.01_22:00:00_TAI,11067,20.513599,-75.636803,28.4676,-58.242599
1,2010.05.01_23:00:00_TAI,11067,20.513599,-75.085602,28.4676,-57.691399
