harpnum,t_rec,totusjh,totusjz,absnjzh,savncpp,usflux,area_acr,meangam,meangbt,meangbz,meangbh,meanjzh,meanjzd,latdtmin,latdtmax,londtmin,londtmax,harpnum,t_rec,totbsq,totfz,epsz,totfy,totfx,epsy,epsx
2414,2013.02.01_00:00:00_TAI,235.281,5636740000000.0,1.533,1146443000000.0,5.139144e+21,127.153824,37.583,87.199,86.075,39.533,-0.00018136,-0.26558444,24.7293,33.915199,31.5079,47.166901,2414,2013.02.01_00:00:00_TAI,7370100000.0,-817.04,-0.2103,-545.84,-1264.8,0.0702,0.1628
2414,2013.02.01_01:00:00_TAI,221.604,5166144000000.0,1.615,1322587000000.0,5.081466e+21,127.718338,36.726,83.83,84.219,37.209,-0.00019328,-0.30986768,24.7293,33.915199,32.053699,47.7127,2414,2013.02.01_01:00:00_TAI,7332400000.0,-882.98,-0.2284,-577.79,-1210.6,0.0747,0.1566
2414,2013.02.01_02:00:00_TAI,206.586,4752351000000.0,0.879,1272884000000.0,4.940369e+21,121.813148,36.12,82.681,82.636,36.75,0.00011007,-0.31195369,24.7293,33.915199,32.599499,48.258499,2414,2013.02.01_02:00:00_TAI,7235700000.0,-872.69,-0.2288,-551.79,-1189.8,0.0723,0.156
2414,2013.02.01_03:00:00_TAI,215.012,5200097000000.0,7.508,771154200000.0,5.040954e+21,126.119362,36.608,84.254,83.932,38.022,-0.00090585,-0.18214834,24.7293,33.915199,33.145302,48.804298,2414,2013.02.01_03:00:00_TAI,7339600000.0,-881.44,-0.2278,-543.1,-1241.7,0.0702,0.1605
2414,2013.02.01_04:00:00_TAI,242.491,5647920000000.0,4.406,1784484000000.0,4.988847e+21,119.824028,37.282,87.567,87.335,40.686,0.0005453,-0.4056274,24.7293,33.915199,33.691101,49.349998,2414,2013.02.01_04:00:00_TAI,7451600000.0,-916.84,-0.2334,-502.09,-1317.5,0.0639,0.1677
2414,2013.02.01_05:00:00_TAI,218.872,4965935000000.0,6.93,1144312000000.0,4.5351e+21,116.083122,37.885,90.891,89.083,42.904,-0.00100452,-0.32463032,24.7293,33.915199,34.2369,49.895802,2414,2013.02.01_05:00:00_TAI,7711400000.0,-834.09,-0.2052,-483.63,-1405.3,0.0595,0.1728
2414,2013.02.01_06:00:00_TAI,206.559,4467235000000.0,4.091,664654900000.0,4.499791e+21,113.053528,36.521,89.61,89.247,41.175,-0.00061204,-0.19460513,24.7293,33.915199,34.7827,50.441601,2414,2013.02.01_06:00:00_TAI,8018700000.0,-829.76,-0.1963,-575.66,-1386.8,0.0681,0.164
2414,2013.02.01_07:00:00_TAI,200.33,4097572000000.0,5.023,935045800000.0,4.695184e+21,118.077042,35.624,87.811,87.082,37.993,-0.00071324,-0.24684146,24.7293,33.915199,35.3284,50.9874,2414,2013.02.01_07:00:00_TAI,7933400000.0,-935.7,-0.2237,-637.49,-1295.2,0.0762,0.1548
2414,2013.02.01_08:00:00_TAI,206.594,4355812000000.0,18.944,401959400000.0,4.858442e+21,117.844505,35.319,84.164,84.325,36.699,-0.00250184,0.10388032,24.7293,33.915199,35.874199,51.533199,2414,2013.02.01_08:00:00_TAI,7753800000.0,-1018.9,-0.2493,-598.24,-1299.4,0.0732,0.1589
2414,2013.02.01_09:00:00_TAI,222.901,4777346000000.0,17.634,494254400000.0,4.923954e+21,112.628433,34.709,84.329,83.563,36.932,-0.0023078,0.07865457,24.7293,33.915199,36.419998,52.078999,2414,2013.02.01_09:00:00_TAI,7834700000.0,-1035.5,-0.2507,-518.22,-1365.5,0.0627,0.1653
2414,2013.02.01_10:00:00_TAI,208.303,4359484000000.0,12.507,549959500000.0,4.506617e+21,112.551514,35.042,89.66,88.963,40.278,-0.00189723,-0.16326742,24.7293,33.915199,36.965801,52.624802,2414,2013.02.01_10:00:00_TAI,7931100000.0,-945.08,-0.226,-433.94,-1406.5,0.0519,0.1682
2414,2013.02.01_11:00:00_TAI,195.636,4116108000000.0,12.285,237823700000.0,4.281512e+21,115.823837,37.282,90.901,90.986,41.277,-0.00194538,-0.07370535,24.7293,33.915199,37.5116,53.170502,2414,2013.02.01_11:00:00_TAI,7770700000.0,-839.87,-0.205,-442.29,-1294.1,0.054,0.1579
2414,2013.02.01_12:00:00_TAI,177.454,3700198000000.0,9.832,218509600000.0,4.194591e+21,110.528564,36.046,90.418,90.287,41.433,-0.00164192,-0.07142443,24.7293,33.915199,38.0574,53.716301,2414,2013.02.01_12:00:00_TAI,7499900000.0,-918.99,-0.2324,-451.06,-1208.2,0.057,0.1528
2414,2013.02.01_13:00:00_TAI,187.442,3803841000000.0,13.897,245871900000.0,4.260489e+21,112.270569,36.25,86.591,86.103,39.562,-0.0021843,-0.0726229,24.7293,33.915199,38.603199,54.2621,2414,2013.02.01_13:00:00_TAI,7328500000.0,-934.09,-0.2418,-451.88,-1173.9,0.0585,0.1519
2414,2013.02.01_14:00:00_TAI,176.451,3555435000000.0,9.871,410129400000.0,4.290613e+21,110.203369,36.611,89.435,89.229,40.418,-0.0015606,-0.12692499,24.7293,33.915199,39.148998,54.807899,2414,2013.02.01_14:00:00_TAI,7316400000.0,-929.3,-0.2409,-442.22,-1176.5,0.0573,0.1525
2414,2013.02.01_15:00:00_TAI,174.495,3506511000000.0,6.118,413571400000.0,4.118803e+21,108.321648,36.205,86.169,85.652,39.69,-0.00101555,-0.13047263,24.7293,33.915199,39.694698,55.353699,2414,2013.02.01_15:00:00_TAI,7265500000.0,-933.73,-0.2438,-410.44,-1171.9,0.0536,0.153
2414,2013.02.01_16:00:00_TAI,183.284,3619601000000.0,7.66,206751600000.0,4.082679e+21,106.953972,36.146,87.964,88.244,40.506,-0.00131024,-0.06925314,24.7293,33.915199,40.240501,55.899502,2414,2013.02.01_16:00:00_TAI,7555500000.0,-949.61,-0.2384,-381.16,-1251.5,0.0478,0.1571
2414,2013.02.01_17:00:00_TAI,184.178,3635513000000.0,7.605,287982400000.0,4.015288e+21,104.677216,36.254,83.41,84.311,39.413,-0.00132143,-0.09799562,24.7293,33.915199,40.786301,56.445301,2414,2013.02.01_17:00:00_TAI,7887300000.0,-944.15,-0.2271,-361.86,-1363.5,0.0435,0.164
2414,2013.02.01_18:00:00_TAI,188.762,3874701000000.0,16.326,284666100000.0,4.227081e+21,95.631516,36.29,82.632,84.484,39.478,-0.00261762,0.0864663,24.7293,33.915199,41.3321,56.991001,2414,2013.02.01_18:00:00_TAI,7987900000.0,-1086.8,-0.2581,-377.14,-1401.7,0.0448,0.1664
2414,2013.02.01_19:00:00_TAI,167.685,3356273000000.0,15.503,170405000000.0,4.109259e+21,99.881912,37.728,78.66,78.775,37.62,-0.00250892,-0.00934873,24.7293,33.915199,41.877899,57.5368,2414,2013.02.01_19:00:00_TAI,7768900000.0,-1115.1,-0.2723,-452.19,-1288.2,0.0552,0.1573
2414,2013.02.01_20:00:00_TAI,159.635,3005279000000.0,12.235,359409600000.0,3.94414e+21,96.114182,37.338,82.231,82.384,38.95,-0.00216477,0.0871559,24.7293,33.915199,42.423698,58.0826,2414,2013.02.01_20:00:00_TAI,7886700000.0,-1129.1,-0.2716,-464.6,-1292.7,0.0559,0.1555
2414,2013.02.01_21:00:00_TAI,162.699,3002543000000.0,6.812,264637500000.0,3.760319e+21,94.20623,37.633,85.643,85.104,41.586,-0.00131996,0.1004208,24.7293,33.915199,42.969501,58.628399,2414,2013.02.01_21:00:00_TAI,8237600000.0,-1096.5,-0.2525,-402.61,-1397.0,0.0464,0.1608
2414,2013.02.01_22:00:00_TAI,178.448,3273254000000.0,13.226,293438400000.0,3.825033e+21,89.29287,38.36,86.896,86.528,44.52,-0.0025164,0.07452531,24.7293,33.915199,43.515202,59.174198,2414,2013.02.01_22:00:00_TAI,8170300000.0,-1141.9,-0.2651,-295.52,-1429.2,0.0343,0.1659
